NAICS8_DESC|NAICS8
Buckwheat|11119908
Grasses & legumes totals|11199811
Guar|11199809
Jojoba|11199810
Orchards|11130000
Peanuts|11199200
Dry southern peas (cowpeas)|11113005
Popcorn|11115003
Sesame|11112007
Sorghum for syrup|11119909
Sugarbeets for sugar|11199101
Sugarcane for seed|11193001
Sugarcane for sugar|11193002
Triticale|11119911
Vegetable totals|11120000
Wild rice|11119910
Cows and heifers that had calved|11210003
Other cattle|11210004
Layers|11231003
Grapes|11133202
Cherries|11133904
AG LAND (Irrigated land)|11000000
Crop Production|11100000
DRY EDIBLE (EXCL LIMA) BEANS|11113006
DRY EDIBLE LIMA BEANS|11113007
MUNG BEANS|11113008
HAY & HAYLAGE|11194020
HERBS DRY|11199808
HORTICULTURE TOTALS (EXCL CUT TREES)|11143001
LOTUS ROOT|11120004
SHORT TERM WOODY CROPS|11142106
CUT CHRISTMAS TREES|11142107
PINEAPPLES HARVESTED|11133925
JOJOBA HARVESTED|11199812
Heifers and heifer calves|11211104
Steers, steer calves, bulls, and bull calves|11211105
Agriculture|11000001
Poultry and Eggs|11230000
Other grains and other oilseeds and drybeans and peas|11110001
SUGARBEETS FOR SEED|11199102
Oilseed and Grain Farming|11110000
Other Crops (excl tobacco and cotton)|11190001
Sheep and Goat Farming|11240000
Other Animal Products|11290000
Cut Christmas trees and short rotation woody crops|11142199
Soybean Farming                                   |11111000
Oilseed (except Soybean) Farming                  |11112000
Canola|11112001
Flaxseed|11112002
Mustard Seed|11112003
Rapeseed|11112004
Safflower|11112005
Sunflower|11112006
Dry Pea and Bean Farming                          |11113000
Dry Beans|11113001
Lentils|11113002
Dry Peas|11113003
Austrian Winter Peas|11113004
Wheat Farming                                     |11114000
Corn Farming                                      |11115000
Corn for Grain|11115001
Corn for Silage|11115002
Rice Farming                                      |11116000
All Other Grain Farming                           |11119900
Barley for grain                                  |11119901
Oats for grain                                    |11119902
Other grains                                      |11119903
Sorghum for grain                                 |11119904
Sorghum for Silage|11119905
Proso Millet|11119906
Rye|11119907
Potato Farming                                    |11121100
Other Vegetable (except Potato) and Melon Farming |11121900
Artichokes                                        |11121901
Asparagus                                         |11121902
Beets                                             |11121903
Bell Peppers                                      |11121904
Broccoli                                          |11121905
Brussels Sprouts                                  |11121906
Cabbage                                           |11121907
Cantaloups                                        |11121908
Carrots                                           |11121909
Cauliflower                                       |11121910
Celery                                            |11121911
Cucumbers                                         |11121912
Eggplant                                          |11121913
Escarole_Endive                                   |11121914
Garlic                                            |11121915
Green Peas                                        |11121916
Lettuce and romaine                               |11121917
Honeydews                                         |11121918
Lima Beans                                        |11121919
Onions                                            |11121920
Snap Beans                                        |11121921
Spinach                                           |11121922
Sweet Corn                                        |11121923
Tomatoes                                          |11121924
Watermelons                                       |11121925
Other vegetables                                  |11121926
Taro|11121928
Chile Peppers|11121929
Pumpkins|11121930
Squash|11121931
Cabbage Chinese|11121932
Cabbage mustard |11121933
Chicory |11121934
Collards|11121935
Daikon |11121936
Ginseng|11121937
Herbs fresh cut|11121938
Horseradish|11121939
Kale|11121940
Mustard greens |11121941
Okra|11121942
Onions green |11121943
Parsley |11121944
Peas Chinese|11121945
Peas green southern|11121946
Radishes |11121947
Rhubarb |11121948
Turnips |11121949
Turnip greens |11121950
Watercress |11121951
Citrus Fruits|11130001
Noncitrus fruit  all|11130002
Fruits (except berries) and tree nuts|11130003
Orange Groves                                     |11131000
Valencia oranges|11131001
Other oranges|11131002
Citrus (except Orange) Groves                     |11132000
Grapefruit                                        |11132001
Tangerines & Mandarins                                        |11132002
Kumquats                                          |11132003
